,s_score,entropy,gini,ratio
n_active,-0.15309278822014122,-0.278945662551797,-0.30028545201525564,0.29362239030675297
top1_top2_gap,-0.07863720952784493,-0.007015166159705549,-0.029215821212511955,-0.44410299487007987
active_std,0.009447736838015027,-0.015022667736727583,0.00494397469433571,0.04019697666694286
active_range,0.010841142900769186,-0.11052360390890001,-0.09842230421366316,0.13422024570554583
top2_pkd,-0.0550332628099284,-0.2030812993477464,-0.18744749904543717,0.2959816754915822
active_skew,0.026397411804716997,0.065915186697464,0.04342846254391162,0.0686581408665776
