drug,rank_std,rank_mean,median_rank_s_score,median_rank_entropy,median_rank_gini,median_rank_ratio
Ro-5126766,34.51500881259243,68.65,67.5,57.0,50.0,39.0
Rociletinib,54.177970615370974,116.65,61.5,122.0,118.0,214.0
Ruboxistaurin,15.888928710128809,106.48333333333333,114.0,116.0,105.0,105.0
Ruxolitinib,30.756756258675193,104.61666666666666,123.0,121.0,112.0,57.0
SAR-407899,32.539074800751315,168.48333333333332,186.0,147.0,150.0,211.0
SB-1317,45.297154681306665,139.36666666666667,162.0,165.0,160.0,44.0
SCH-900776,25.78811095576151,117.2,129.0,135.0,127.0,87.0
SGI-1776,22.056644249648578,95.23333333333333,107.5,89.0,83.0,98.0
SGX-523,18.80413666073387,29.233333333333334,37.0,13.5,13.5,56.0
SNS-314,23.83872316677683,109.41666666666667,104.0,117.0,109.0,126.0
SU-14813,27.87111208561454,152.46666666666667,174.0,162.0,153.0,92.0
Sapanisertib,36.53900503419447,137.63333333333333,142.5,155.0,141.0,167.0
Sapitinib,33.29124008904845,81.6,104.0,93.0,91.0,24.0
Saracatinib,21.525308102066482,177.83333333333334,190.5,186.0,176.0,141.0
Seliciclib,69.14855987895433,85.1,30.0,56.5,108.0,182.0
Selumetinib,26.796294312626305,82.51666666666667,83.0,78.0,72.0,89.0
Silmitasertib,33.920859691673826,166.18333333333334,191.5,176.0,158.0,127.0
Sorafenib,24.562708862555585,57.2,52.0,51.0,41.0,101.0
Sotrastaurin,27.315344690403517,138.71666666666667,149.0,121.0,119.0,162.0
Sunitinib,40.698925047229444,167.15,172.0,197.0,189.0,86.0
TAK-285,54.23082354364741,48.13333333333333,29.5,13.5,13.5,102.0
TAK-593,38.171979251801964,111.0,148.0,116.0,103.0,49.0
TAK-733,41.558489572595825,67.51666666666667,67.5,58.0,51.0,30.0
TAK-901,38.4190382492847,195.95,201.0,210.0,204.0,220.0
TG-100115,30.01636590632221,41.36666666666667,61.5,22.0,22.0,24.0
TG-100572,14.947091876199718,199.36666666666667,214.5,200.0,192.0,194.0
TG-100801,33.700989105168205,119.4,107.5,129.0,126.0,152.0
Talmapimod,38.59191409263518,35.35,62.5,14.5,14.5,13.0
Tandutinib,30.680200817827483,36.516666666666666,61.5,22.0,20.0,21.0
Tanzisertib,38.22950067973975,113.21666666666667,143.5,105.0,98.0,48.0
Telatinib,43.507649391291594,40.53333333333333,30.0,13.5,13.5,96.0
Tepotinib,37.17198766096139,41.4,62.5,25.0,23.0,3.0
Tesevatinib,20.8754241473876,158.5,168.5,172.0,164.0,144.0
Tivantinib,42.93986751519178,39.96666666666667,30.0,13.5,13.5,92.0
Tivozanib,32.62318960494207,136.95,151.0,159.0,152.0,105.0
Tofacitinib,23.675139328464827,69.23333333333333,73.0,65.0,58.0,45.0
Tozasertib,28.278009713085066,128.75,145.0,139.0,135.0,68.0
Trametinib,35.647331207570396,58.96666666666667,94.5,50.0,40.0,15.0
UCN-01,12.574500210964871,203.08333333333334,212.0,212.0,204.0,183.0
Ulixertinib,34.56845463071144,74.78333333333333,61.5,71.0,70.0,83.0
Uprosertib,23.244527432399128,112.31666666666666,131.5,122.0,113.0,74.0
VX-702,50.28335266820973,85.53333333333333,131.5,70.0,69.0,2.0
Vandetanib,31.90604261821819,81.23333333333333,62.5,110.0,106.0,110.0
Varlitinib,30.772173577221785,73.3,94.5,76.0,59.0,39.0
Vatalanib,85.04600062449865,83.83333333333333,21.0,32.0,213.0,199.0
Vemurafenib,46.375163970958994,85.95,53.0,92.0,81.0,170.0
Volasertib,29.516643139459852,69.53333333333333,61.5,67.0,62.0,100.0
Volitinib,21.61083190336632,29.883333333333333,35.0,13.5,13.5,65.0
X-396,16.03805370569218,36.15,37.0,22.0,22.0,55.0
XL-019,22.47099364860298,162.56666666666666,173.0,172.0,166.0,122.0
XL-228,7.011815425091818,213.63333333333333,217.0,215.0,208.0,219.0
XL-413,36.34376379334791,122.85,139.0,104.0,109.0,169.0
Y-39983,10.112766958432077,176.08333333333334,184.5,177.0,164.0,184.0
