,s_score,entropy,gini,ratio
n_active,-0.27240189717061536,-0.40910192888885877,-0.09250672051055964,-0.03972359624096273
top1_top2_gap,0.039292291240990804,0.08195720971592532,0.03067466558064829,-0.34062123567626557
active_std,-0.28123132126547606,-0.16954434669019505,-0.11663336780590512,-0.10723395927677454
active_range,-0.3537188691800067,-0.27323219326869347,-0.10191789473508249,-0.11639937238802912
top2_pkd,-0.31356208757087267,-0.23427254230196856,-0.1917665285229563,0.1855242461208231
active_skew,-0.1620204363951549,-0.04501951279058581,0.346262119497631,-0.10768253250954571
